Blastx evalue	Query ID	Protein Description	Count	Taxonomy	Tax ID	Rep ID	Target	Chromosome	UGA-SECIS	Free Energy
1e-22	lcl|UniRef50_H2B641	Glutathione peroxidase	n=8	Tax=Protostomia	TaxID=33317	RepID=H2B641_9MAXI	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_84 Strand: +	461	-10.1
2e-23	lcl|UniRef50_A0A6J0UIJ4	Peroxiredoxin-like 2 activated in M-CSF stimulated monocytes	n=13	Tax=Euteleostomi	TaxID=117571	RepID=A0A6J0UIJ4_9SAUR	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_10 Strand: +	552	-27.7
7e-15	lcl|UniRef50_A0A2W4HUN7	Peptide methionine sulfoxide reductase MsrA	n=1	Tax=Candidatus	TaxID=2052166	RepID=A0A2W4HUN7_9BACT	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_65 Strand: -	674	-15.1
2e-04	lcl|UniRef50_A0A2V7A7P4	Molybdopterin-synthase adenylyltransferase MoeB	n=22	Tax=Bacteria	TaxID=1783234	RepID=A0A2V7A7P4_9BACT	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_91 Strand: +	155	-21.1
4e-45	lcl|UniRef50_C1MNW8	Glutaredoxin-dependent peroxiredoxin	n=12	Tax=Eukaryota	TaxID=2759	RepID=C1MNW8_MICPC	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_10 Strand: +	500	-26.0
5e-27	lcl|UniRef50_F0YFW7	Peroxiredoxin-like 2 activated in M-CSF stimulated monocytes (Fragment)	n=1	Tax=Aureococcus	TaxID=44056	RepID=F0YFW7_AURAN	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_8 Strand: -	522	-26.2
1e-18	lcl|UniRef50_C1MH21	Selenoprotein T	n=2	Tax=Eukaryota	TaxID=2759	RepID=C1MH21_MICPC	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_35 Strand: +	647	-21.3
1e-18	lcl|UniRef50_C1MH21	Selenoprotein T	n=2	Tax=Eukaryota	TaxID=2759	RepID=C1MH21_MICPC	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_37 Strand: -	647	-21.3
2e-04	lcl|UniRef50_A0A2V7A7P4	Molybdopterin-synthase adenylyltransferase MoeB	n=22	Tax=Bacteria	TaxID=1783234	RepID=A0A2V7A7P4_9BACT	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_5 Strand: +	155	-20.2
5e-27	lcl|UniRef50_Q0BZB3	Selenoprotein	n=3	Tax=Hyphomonas	TaxID=85	RepID=Q0BZB3_HYPNA	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_11 Strand: -	560	-21.1
4e-34	lcl|UniRef50_Q0BZB3	Selenoprotein	n=3	Tax=Hyphomonas	TaxID=85	RepID=Q0BZB3_HYPNA	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_74 Strand: -	560	-21.1
4e-45	lcl|UniRef50_C1MNW8	Glutaredoxin-dependent peroxiredoxin	n=12	Tax=Eukaryota	TaxID=2759	RepID=C1MNW8_MICPC	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_6 Strand: -	500	-25.9
4e-45	lcl|UniRef50_C1MNW8	Glutaredoxin-dependent peroxiredoxin	n=12	Tax=Eukaryota	TaxID=2759	RepID=C1MNW8_MICPC	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_187 Strand: +	500	-25.9
5e-15	lcl|UniRef50_A0A2W4HUN7	Peptide methionine sulfoxide reductase MsrA	n=1	Tax=Candidatus	TaxID=2052166	RepID=A0A2W4HUN7_9BACT	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_43 Strand: -	674	-13.3
5e-15	lcl|UniRef50_A0A2W4HUN7	Peptide methionine sulfoxide reductase MsrA	n=1	Tax=Candidatus	TaxID=2052166	RepID=A0A2W4HUN7_9BACT	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_49 Strand: -	674	-13.3
5e-64	lcl|UniRef50_F0Y7Q7	Selenoprotein O (Fragment)	n=4	Tax=Pelagomonadales	TaxID=54409	RepID=F0Y7Q7_AURAN	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_41 Strand: -	2707	-12.4
2e-05	lcl|UniRef50_A8E0R8	Thioredoxin-glutathione reductase	n=6	Tax=Digenea	TaxID=6179	RepID=A8E0R8_FASHE	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_72 Strand: +	2204	-16.67
2e-28	lcl|UniRef50_F0Y7Q7	Selenoprotein O (Fragment)	n=4	Tax=Pelagomonadales	TaxID=54409	RepID=F0Y7Q7_AURAN	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_128 Strand: +	96	-23.0
1e-94	lcl|UniRef50_Q50KB1	Protein disulfide-isomerase-like protein EhSep2	n=18	Tax=Eukaryota	TaxID=2759	RepID=SEP2_EMIHU	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_101 Strand: -	594	-19.8
7e-95	lcl|UniRef50_Q50KB1	Protein disulfide-isomerase-like protein EhSep2	n=18	Tax=Eukaryota	TaxID=2759	RepID=SEP2_EMIHU	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_203 Strand: +	594	-19.8
4e-45	lcl|UniRef50_A0A6P4ZHE4	Glutathione peroxidase	n=11	Tax=Eumetazoa	TaxID=6072	RepID=A0A6P4ZHE4_BRABE	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_621 Strand: +	568	-21.6
3e-43	lcl|UniRef50_A0A6P4ZHE4	Glutathione peroxidase	n=11	Tax=Eumetazoa	TaxID=6072	RepID=A0A6P4ZHE4_BRABE	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_901 Strand: -	563	-21.6
1e-57	lcl|UniRef50_Q9VKY8	Selenide, water dikinase 2	n=57	Tax=Schizophora	TaxID=43738	RepID=SPS2_DROME	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_434 Strand: -	1059	-21.2
7e-08	lcl|UniRef50_A0A6J1V2X9	Peroxiredoxin-like 2 activated in M-CSF stimulated monocytes	n=8	Tax=Amniota	TaxID=32524	RepID=A0A6J1V2X9_9SAUR	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_336 Strand: -	972	-19.3
5e-13	lcl|UniRef50_F0YFW7	Peroxiredoxin-like 2 activated in M-CSF stimulated monocytes (Fragment)	n=1	Tax=Aureococcus	TaxID=44056	RepID=F0YFW7_AURAN	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_880 Strand: +	976	-13.3
0.0	lcl|UniRef50_B9A1H3	Thioredoxin reductase SEP1	n=33	Tax=Eukaryota	TaxID=2759	RepID=TRXR1_EMIHU	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_328 Strand: +	109	-15.8
0.0	lcl|UniRef50_B9A1H3	Thioredoxin reductase SEP1	n=33	Tax=Eukaryota	TaxID=2759	RepID=TRXR1_EMIHU	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_1365 Strand: -	109	-15.8
2e-11	lcl|UniRef50_A0A3M1JU74	Thioredoxin-dependent thiol peroxidase	n=1	Tax=Candidatus	TaxID=2026760	RepID=A0A3M1JU74_9BACT	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_121 Strand: +	421	-13.7
2e-11	lcl|UniRef50_A0A3M1JU74	Thioredoxin-dependent thiol peroxidase	n=1	Tax=Candidatus	TaxID=2026760	RepID=A0A3M1JU74_9BACT	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_573 Strand: +	421	-13.7
1e-39	lcl|UniRef50_C1MNW8	Glutaredoxin-dependent peroxiredoxin	n=12	Tax=Eukaryota	TaxID=2759	RepID=C1MNW8_MICPC	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_206 Strand: +	525	-23.1
5e-44	lcl|UniRef50_C1MNW8	Glutaredoxin-dependent peroxiredoxin	n=12	Tax=Eukaryota	TaxID=2759	RepID=C1MNW8_MICPC	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_83 Strand: -	525	-18.4
9e-27	lcl|UniRef50_F0Y4K6	Selenoprotein (Fragment)	n=1	Tax=Aureococcus	TaxID=44056	RepID=F0Y4K6_AURAN	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_41 Strand: +	292	-10.1
5e-27	lcl|UniRef50_F0Y4K6	Selenoprotein (Fragment)	n=1	Tax=Aureococcus	TaxID=44056	RepID=F0Y4K6_AURAN	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_72 Strand: -	292	-10.1
1e-21	lcl|UniRef50_A0A2E2Y2X7	Glutathione peroxidase (Fragment)	n=1	Tax=Planctomycetaceae	TaxID=2026779	RepID=A0A2E2Y2X7_9PLAN	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_56 Strand: -	926	-22.9
1e-21	lcl|UniRef50_A0A2E2Y2X7	Glutathione peroxidase (Fragment)	n=1	Tax=Planctomycetaceae	TaxID=2026779	RepID=A0A2E2Y2X7_9PLAN	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_690 Strand: +	926	-22.9
1e-08	lcl|UniRef50_A8IGQ9	Selenoprotein M2	n=3	Tax=Chlamydomonadales	TaxID=3042	RepID=A8IGQ9_CHLRE	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_159 Strand: +	319	-19.9
7e-31	lcl|UniRef50_F0YB84	Selenoprotein (Fragment)	n=2	Tax=Aureococcus	TaxID=44056	RepID=F0YB84_AURAN	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_164 Strand: -	214	-21.1
4e-34	lcl|UniRef50_F0YB84	Selenoprotein (Fragment)	n=2	Tax=Aureococcus	TaxID=44056	RepID=F0YB84_AURAN	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_445 Strand: -	214	-21.1
2e-35	lcl|UniRef50_A0A6P8IP98	Glutathione peroxidase	n=4	Tax=Eukaryota	TaxID=2759	RepID=A0A6P8IP98_ACTTE	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_415 Strand: +	2204	-4.0
9e-31	lcl|UniRef50_Q0BZB3	Selenoprotein	n=3	Tax=Hyphomonas	TaxID=85	RepID=Q0BZB3_HYPNA	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_25 Strand: +	630	-16.9
8e-30	lcl|UniRef50_Q0BZB3	Selenoprotein	n=3	Tax=Hyphomonas	TaxID=85	RepID=Q0BZB3_HYPNA	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_123 Strand: +	630	-16.9
1e-08	lcl|UniRef50_A8IGQ9	Selenoprotein M2	n=3	Tax=Chlamydomonadales	TaxID=3042	RepID=A8IGQ9_CHLRE	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_335 Strand: +	319	-17.0
4e-53	lcl|UniRef50_A0SWV9	Glutathione peroxidase	n=4	Tax=Opisthorchiidae	TaxID=6196	RepID=A0SWV9_CLOSI	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_107 Strand: -	438	-22.8
4e-53	lcl|UniRef50_A0SWV9	Glutathione peroxidase	n=4	Tax=Opisthorchiidae	TaxID=6196	RepID=A0SWV9_CLOSI	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_244 Strand: +	438	-22.8
2e-35	lcl|UniRef50_A0A6P8IP98	Glutathione peroxidase	n=4	Tax=Eukaryota	TaxID=2759	RepID=A0A6P8IP98_ACTTE	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_339 Strand: +	2357	-4.0
3e-35	lcl|UniRef50_A0A6P7TLX9	Glutathione peroxidase	n=4	Tax=Octopus	TaxID=6643	RepID=A0A6P7TLX9_OCTVU	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_339 Strand: +	413	-14.7
3e-35	lcl|UniRef50_A0A6P7TLX9	Glutathione peroxidase	n=4	Tax=Octopus	TaxID=6643	RepID=A0A6P7TLX9_OCTVU	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_415 Strand: +	413	-14.7
8e-91	lcl|UniRef50_B9A1H3	Thioredoxin reductase SEP1	n=33	Tax=Eukaryota	TaxID=2759	RepID=TRXR1_EMIHU	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_147 Strand: -	184	-8.3
2e-11	lcl|UniRef50_Q9Z0J5-2	Isoform 2 of Thioredoxin reductase 2, mitochondrial	n=298	Tax=Euteleostomi	TaxID=117571	RepID=Q9Z0J5-2	Prymnesium_platychrysis_sp_CCMP1217.mainGenome.fasta	scaffold_1326 Strand: -	184	-8.3
2e-47	lcl|UniRef50_A0A6P8IP98	Glutathione peroxidase	n=4	Tax=Eukaryota	TaxID=2759	RepID=A0A6P8IP98_ACTTE	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_17 Strand: -	516	-25.7
2e-11	lcl|UniRef50_H2B641	Glutathione peroxidase	n=8	Tax=Protostomia	TaxID=33317	RepID=H2B641_9MAXI	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_112 Strand: -	438	-32.8
4e-04	lcl|UniRef50_B9A1H3	Thioredoxin reductase SEP1	n=33	Tax=Eukaryota	TaxID=2759	RepID=TRXR1_EMIHU	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_15 Strand: -	62	-28.2
5e-27	lcl|UniRef50_A8JGP7	Selenoprotein H	n=4	Tax=core	TaxID=2692248	RepID=A8JGP7_CHLRE	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_15 Strand: +	283	-19.4
1e-30	lcl|UniRef50_F0Y7Q7	Selenoprotein O (Fragment)	n=4	Tax=Pelagomonadales	TaxID=54409	RepID=F0Y7Q7_AURAN	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_21 Strand: -	111	-26.5
1e-30	lcl|UniRef50_F0Y7Q7	Selenoprotein O (Fragment)	n=4	Tax=Pelagomonadales	TaxID=54409	RepID=F0Y7Q7_AURAN	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_22 Strand: -	111	-26.5
e-115	lcl|UniRef50_B9A1H3	Thioredoxin reductase SEP1	n=33	Tax=Eukaryota	TaxID=2759	RepID=TRXR1_EMIHU	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_70 Strand: -	82	-26.4
3e-78	lcl|UniRef50_F0YC47	Selenoprotein (Fragment)	n=1	Tax=Aureococcus	TaxID=44056	RepID=F0YC47_AURAN	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_23 Strand: -	569	-23.8
5e-15	lcl|UniRef50_A0A2W4HUN7	Peptide methionine sulfoxide reductase MsrA	n=1	Tax=Candidatus	TaxID=2052166	RepID=A0A2W4HUN7_9BACT	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_15 Strand: +	608	-15.9
7e-29	lcl|UniRef50_F0Y2G1	Peptide-methionine (S)-S-oxide reductase (Fragment)	n=1	Tax=Aureococcus	TaxID=44056	RepID=F0Y2G1_AURAN	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_20 Strand: +	552	-24.3
4e-23	lcl|UniRef50_A0A6I9HQS4	Glutathione peroxidase	n=10	Tax=Amniota	TaxID=32524	RepID=A0A6I9HQS4_GEOFO	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_10 Strand: -	444	-28.4
1e-09	lcl|UniRef50_A0A1S3H6N6	selenoprotein M-like	n=10	Tax=Protostomia	TaxID=33317	RepID=A0A1S3H6N6_LINUN	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_4 Strand: -	568	-39.8
1e-09	lcl|UniRef50_A0A1S3H6N6	selenoprotein M-like	n=10	Tax=Protostomia	TaxID=33317	RepID=A0A1S3H6N6_LINUN	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_5 Strand: +	568	-39.8
6e-39	lcl|UniRef50_Q0BZB3	Selenoprotein	n=3	Tax=Hyphomonas	TaxID=85	RepID=Q0BZB3_HYPNA	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_42 Strand: -	650	-21.2
6e-39	lcl|UniRef50_Q0BZB3	Selenoprotein	n=3	Tax=Hyphomonas	TaxID=85	RepID=Q0BZB3_HYPNA	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_43 Strand: -	650	-21.2
1e-20	lcl|UniRef50_F0YAQ3	Selenoprotein (Fragment)	n=1	Tax=Aureococcus	TaxID=44056	RepID=F0YAQ3_AURAN	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_124 Strand: +	889	-18.1
1e-20	lcl|UniRef50_F0YAQ3	Selenoprotein (Fragment)	n=1	Tax=Aureococcus	TaxID=44056	RepID=F0YAQ3_AURAN	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_125 Strand: +	889	-18.1
6e-52	lcl|UniRef50_UPI000C765B6A	glutathione peroxidase 2-like	n=1	Tax=Eurytemora	TaxID=88015	RepID=UPI000C765B6A	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_44 Strand: -	562	-30.1
6e-52	lcl|UniRef50_UPI000C765B6A	glutathione peroxidase 2-like	n=1	Tax=Eurytemora	TaxID=88015	RepID=UPI000C765B6A	Imantonia_rotunda_var_Eilat_AL_16_RCC4477.mainGenome.fasta	scaffold_45 Strand: -	562	-30.1
3e-52	lcl|UniRef50_A0A6P4ZHE4	Glutathione peroxidase	n=11	Tax=Eumetazoa	TaxID=6072	RepID=A0A6P4ZHE4_BRABE	Pavlova_sp_CC15_RCC_6257.mainGenome.fasta	scaffold_7 Strand: -	562	-19.7
6e-64	lcl|UniRef50_F0YC47	Selenoprotein (Fragment)	n=1	Tax=Aureococcus	TaxID=44056	RepID=F0YC47_AURAN	Pavlova_sp_CC15_RCC_6257.mainGenome.fasta	scaffold_48 Strand: +	1055	-7.7
1e-15	lcl|UniRef50_F0YJ25	Selenoprotein	n=1	Tax=Aureococcus	TaxID=44056	RepID=F0YJ25_AURAN	Pavlova_sp_CC15_RCC_6257.mainGenome.fasta	scaffold_2 Strand: -	303	-18.3
e-122	lcl|UniRef50_Q9Z0J5-2	Isoform 2 of Thioredoxin reductase 2, mitochondrial	n=298	Tax=Euteleostomi	TaxID=117571	RepID=Q9Z0J5-2	Pavlova_sp_CC15_RCC_6257.mainGenome.fasta	scaffold_35 Strand: -	132	-16.9
3e-28	lcl|UniRef50_UPI0018D65CFA	selenoprotein F-like	n=1	Tax=Patiria	TaxID=46514	RepID=UPI0018D65CFA	Pavlova_sp_CC15_RCC_6257.mainGenome.fasta	scaffold_7 Strand: +	308	-19.3
5e-64	lcl|UniRef50_A0A3N5MDP1	Methyltransferase domain-containing protein (Fragment)	n=2	Tax=root	TaxID=1	RepID=A0A3N5MDP1_9BACT	Pavlova_sp_CC15_RCC_6257.mainGenome.fasta	scaffold_20 Strand: +	680	-18.7
4e-27	lcl|UniRef50_A8JGP7	Selenoprotein H	n=4	Tax=core	TaxID=2692248	RepID=A8JGP7_CHLRE	Pavlova_sp_CC15_RCC_6257.mainGenome.fasta	scaffold_28 Strand: +	335	-20.6
7e-16	lcl|UniRef50_A0A1J0KJL1	Glutathione peroxidase (Fragment)	n=1	Tax=Symbiodinium	TaxID=329482	RepID=A0A1J0KJL1_9DINO	Pavlova_sp_CC15_RCC_6257.mainGenome.fasta	scaffold_67 Strand: +	971	-12.0
